Namespace,Project,Is_Empty,isFork,isArchive,Project_Size(mb),LFS_Size(mb),Collaborator_Count,Protected_Branch_Count,MR_Review_Count,Milestone_Count,Issue_Count,MR_Count,MR_Review_Comment_Count,Commit_Count,Issue_Comment_Count,Release_Count,Branch_Count,Tag_Count,Has_Wiki,Full_URL,Created,Last_Push,Last_Update,github_org,github_repo
migration-demo-group,AI-Chatbot,false,false,false,0,0,1,1,0,0,0,1,0,13,0,0,2,0,false,http://gitlabpoc.eastus.cloudapp.azure.com/migration-demo-group/AI-Chatbot,2026-02-23T05:55:17Z,2026-03-16T08:59:42Z,2026-03-16T08:59:42Z,maayon-enterprise,AI-Chatbot-apr17
migration-demo-group,Music-Player,false,false,false,0,0,1,1,0,0,0,2,0,72,0,0,3,4,false,http://gitlabpoc.eastus.cloudapp.azure.com/migration-demo-group/music-player,2026-02-23T05:53:45Z,2026-03-31T07:33:05Z,2026-03-31T07:33:05Z,maayon-enterprise,Music-Player-apr17
